id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts55491,Somewhere Between,SHOW,"Laura Price, a local news producer in San Francisco, is helping the police to hunt down a serial killer. After the killer strikes close to home, a twist of fate allows a “Groundhog Day”-type reset, and Laura relives the week prior to the string of murders. Can she change fate and stop the killer?",2017,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],1.0,tt6467294,6.2,5957.0,14.04,6.5
ts84243,Baby,SHOW,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",2018,TV-MA,45.0,['drama'],['IT'],3.0,tt7645192,6.8,11202.0,38.201,8.0
ts57822,Sick Note,SHOW,"When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better. But then he finds out he was misdiagnosed by the most incompetent oncologist on Earth and now he has a big decision to make: come clean and go back to his old rubbish life, or keep pretending to be ill.",2017,TV-MA,24.0,"['comedy', 'crime']",['GB'],2.0,tt5770788,6.7,7550.0,8.196,7.1
ts79020,Hitler's Circle of Evil,SHOW,"Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future.",2018,TV-14,52.0,"['documentation', 'history', 'war']",['GB'],1.0,tt6600720,8.0,4322.0,5.542,7.5
ts84779,Haunted,SHOW,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",2018,TV-MA,25.0,"['documentation', 'horror', 'reality']",['US'],3.0,tt9077192,4.6,3193.0,19.435,7.0
tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,MOVIE,"The story of Lynyrd Skynyrd; The Greatest American Rock Band Ever. We fly beyond Free Bird to celebrate the life & times of leader Ronnie Van Zant, from boogie-woogie beginnings in Jacksonville’s Shantytown to a tragic end in a Mississippi swamp.",2018,,94.0,"['documentation', 'music']",['US'],,tt6214722,7.9,1285.0,3.925,7.7
ts83561,Immortals,SHOW,"Driven by revenge, human-turned-vampire Mia sets out to vanquish Dmitry, a ruthless vampire leader who seeks an artifact that grants immortality.",2018,TV-MA,47.0,"['scifi', 'action', 'drama', 'fantasy', 'thriller', 'music']",['TR'],1.0,tt8063174,5.4,3087.0,13.712,6.5
tm370392,The Week Of,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018,PG-13,116.0,['comedy'],['US'],,tt6821012,5.2,21855.0,10.24,5.4
tm300184,iBoy,MOVIE,"After an accident, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of super powers.",2017,,90.0,"['scifi', 'action', 'crime', 'thriller']",['GB'],,tt3171832,6.0,22594.0,14.284,6.0
ts58225,The Standups,SHOW,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",2017,TV-MA,30.0,['comedy'],['US'],3.0,tt15250768,6.6,1259.0,2.314,5.8
